city,sector,rank_zscore,clean_city_name,country
fortaleza,Public Administration,-0.5593475194404103,Fortaleza,BR
rio_de_janeiro,Public Administration,0.0243194573669742,Rio De Janeiro,BR
salvador,Public Administration,1.3375701551835897,Salvador,BR
sao_paulo,Public Administration,-0.7052642636422564,Sao Paulo,BR
belo_horizonte,Real Estate,-1.271350107640247,Belo Horizonte,BR
brasilia,Real Estate,1.4209207085390998,Brasilia,BR
fortaleza,Real Estate,-0.3739265022471313,Fortaleza,BR
rio_de_janeiro,Real Estate,0.5234971031459842,Rio De Janeiro,BR
salvador,Real Estate,0.5234971031459842,Salvador,BR
sao_paulo,Real Estate,-0.8226383049436892,Sao Paulo,BR
belo_horizonte,Retail,0.2613541867446585,Belo Horizonte,BR
brasilia,Retail,-0.0522708373489314,Brasilia,BR
fortaleza,Retail,0.2613541867446585,Fortaleza,BR
rio_de_janeiro,Retail,0.5749792108382485,Rio De Janeiro,BR
salvador,Retail,-1.9340209819104717,Salvador,BR
sao_paulo,Retail,0.8886042349318385,Sao Paulo,BR
belo_horizonte,Transportation,-1.440927196787082,Belo Horizonte,BR
brasilia,Transportation,0.6175402271944638,Brasilia,BR
fortaleza,Transportation,-0.2058467423981545,Fortaleza,BR
rio_de_janeiro,Transportation,0.2058467423981545,Rio De Janeiro,BR
salvador,Transportation,-0.6175402271944638,Salvador,BR
sao_paulo,Transportation,1.440927196787082,Sao Paulo,BR
belo_horizonte,Wholesale,0.0,Belo Horizonte,BR
brasilia,Wholesale,0.0,Brasilia,BR
fortaleza,Wholesale,0.0,Fortaleza,BR
rio_de_janeiro,Wholesale,1.1952286093343936,Rio De Janeiro,BR
salvador,Wholesale,-1.7928429140015905,Salvador,BR
sao_paulo,Wholesale,0.5976143046671968,Sao Paulo,BR
buenos_aires,Agriculture,-1.815602793044146,Buenos Aires,AR
cordoba,Agriculture,0.1452482234435315,Cordoba,AR
la_plata,Agriculture,-0.0726241117217659,La Plata,AR
mendoza,Agriculture,1.0167375641047216,Mendoza,AR
rosario,Agriculture,-0.0726241117217659,Rosario,AR
san_miguel_de_tucuman,Agriculture,0.7988652289394241,San Miguel De Tucuman,AR
buenos_aires,Art/Culture,0.5270462766947299,Buenos Aires,AR
cordoba,Art/Culture,-0.5270462766947299,Cordoba,AR
la_plata,Art/Culture,1.0540925533894598,La Plata,AR
mendoza,Art/Culture,-1.0540925533894598,Mendoza,AR
rosario,Art/Culture,-1.0540925533894598,Rosario,AR
san_miguel_de_tucuman,Art/Culture,1.0540925533894598,San Miguel De Tucuman,AR
buenos_aires,Business Support,-0.4082482904638637,Buenos Aires,AR
cordoba,Business Support,-0.4082482904638637,Cordoba,AR
la_plata,Business Support,-0.4082482904638637,La Plata,AR
mendoza,Business Support,2.0412414523193143,Mendoza,AR
rosario,Business Support,-0.4082482904638637,Rosario,AR
san_miguel_de_tucuman,Business Support,-0.4082482904638637,San Miguel De Tucuman,AR
buenos_aires,Construction,-1.5498260496951672,Buenos Aires,AR
cordoba,Construction,0.4428074427700472,Cordoba,AR
la_plata,Construction,0.4428074427700472,La Plata,AR
mendoza,Construction,-0.8856148855400957,Mendoza,AR
rosario,Construction,0.4428074427700472,Rosario,AR
san_miguel_de_tucuman,Construction,1.1070186069251189,San Miguel De Tucuman,AR
buenos_aires,Corporate,-0.2507849312877597,Buenos Aires,AR
cordoba,Corporate,-1.379317122082678,Cordoba,AR
la_plata,Corporate,-0.2507849312877597,La Plata,AR
mendoza,Corporate,1.6301020533704371,Mendoza,AR
rosario,Corporate,0.501569862575519,Rosario,AR
san_miguel_de_tucuman,Corporate,-0.2507849312877597,San Miguel De Tucuman,AR
buenos_aires,Education,1.302663813304236,Buenos Aires,AR
cordoba,Education,0.7636305112473107,Cordoba,AR
la_plata,Education,-0.8534693949234646,La Plata,AR
mendoza,Education,-1.3925026969803898,Mendoza,AR
rosario,Education,0.2245972091903856,Rosario,AR
san_miguel_de_tucuman,Education,-0.0449194418380769,San Miguel De Tucuman,AR
buenos_aires,Energy,-0.2080625946441195,Buenos Aires,AR
cordoba,Energy,0.7282190812544193,Cordoba,AR
la_plata,Energy,0.4161251892882396,La Plata,AR
mendoza,Energy,-1.7685320544750176,Mendoza,AR
rosario,Energy,1.040312973220599,Rosario,AR
san_miguel_de_tucuman,Energy,-0.2080625946441195,San Miguel De Tucuman,AR
buenos_aires,Financial,-0.4428074427700475,Buenos Aires,AR
cordoba,Financial,0.8856148855400954,Cordoba,AR
la_plata,Financial,-0.4428074427700475,La Plata,AR
mendoza,Financial,1.5498260496951668,Mendoza,AR
rosario,Financial,-1.107018606925119,Rosario,AR
san_miguel_de_tucuman,Financial,-0.4428074427700475,San Miguel De Tucuman,AR
buenos_aires,Health,1.697336849583011,Buenos Aires,AR
cordoba,Health,0.3086066999241839,Cordoba,AR
la_plata,Health,0.3086066999241839,La Plata,AR
mendoza,Health,-0.6172133998483674,Mendoza,AR
rosario,Health,-1.080123449734643,Rosario,AR
san_miguel_de_tucuman,Health,-0.6172133998483674,San Miguel De Tucuman,AR
buenos_aires,Hospitality,0.8519427513705972,Buenos Aires,AR
cordoba,Hospitality,0.8519427513705972,Cordoba,AR
la_plata,Hospitality,-0.8519427513705972,La Plata,AR
mendoza,Hospitality,0.8519427513705972,Mendoza,AR
rosario,Hospitality,-0.2839809171235324,Rosario,AR
san_miguel_de_tucuman,Hospitality,-1.419904585617662,San Miguel De Tucuman,AR
buenos_aires,Information,-0.1376204706407949,Buenos Aires,AR
cordoba,Information,1.513825177048746,Cordoba,AR
la_plata,Information,-0.5504818825631802,La Plata,AR
mendoza,Information,-1.3762047064079508,Mendoza,AR
rosario,Information,-0.1376204706407949,Rosario,AR
san_miguel_de_tucuman,Information,0.6881023532039756,San Miguel De Tucuman,AR
buenos_aires,Manufacturing,0.9128709291752768,Buenos Aires,AR
cordoba,Manufacturing,0.9128709291752768,Cordoba,AR
la_plata,Manufacturing,-0.9128709291752768,La Plata,AR
mendoza,Manufacturing,-0.9128709291752768,Mendoza,AR
rosario,Manufacturing,-0.9128709291752768,Rosario,AR
san_miguel_de_tucuman,Manufacturing,0.9128709291752768,San Miguel De Tucuman,AR
buenos_aires,Professional Service,-0.2866350020725758,Buenos Aires,AR
cordoba,Professional Service,-0.5323221467062123,Cordoba,AR
la_plata,Professional Service,1.6788621549965153,La Plata,AR
mendoza,Professional Service,-1.2693835806071214,Mendoza,AR
rosario,Professional Service,0.4504264318283333,Rosario,AR
san_miguel_de_tucuman,Professional Service,-0.0409478574389394,San Miguel De Tucuman,AR
buenos_aires,Public Administration,0.585779186129006,Buenos Aires,AR
cordoba,Public Administration,-1.1715583722580123,Cordoba,AR
la_plata,Public Administration,0.3347309635022891,La Plata,AR
mendoza,Public Administration,1.3389238540091568,Mendoza,AR
rosario,Public Administration,0.0836827408755722,Rosario,AR
san_miguel_de_tucuman,Public Administration,-1.1715583722580123,San Miguel De Tucuman,AR
buenos_aires,Real Estate,-0.7669649888473704,Buenos Aires,AR
cordoba,Real Estate,0.0,Cordoba,AR
la_plata,Real Estate,-0.7669649888473704,La Plata,AR
mendoza,Real Estate,0.0,Mendoza,AR
rosario,Real Estate,-0.3834824944236852,Rosario,AR
san_miguel_de_tucuman,Real Estate,1.917412472118426,San Miguel De Tucuman,AR
buenos_aires,Retail,1.0882143751650175,Buenos Aires,AR
cordoba,Retail,-0.3627381250550058,Cordoba,AR
la_plata,Retail,-1.0882143751650175,La Plata,AR
mendoza,Retail,1.0882143751650175,Mendoza,AR
rosario,Retail,0.3627381250550058,Rosario,AR
san_miguel_de_tucuman,Retail,-1.0882143751650175,San Miguel De Tucuman,AR
buenos_aires,Transportation,0.0,Buenos Aires,AR
cordoba,Transportation,-1.118033988749895,Cordoba,AR
la_plata,Transportation,1.118033988749895,La Plata,AR
mendoza,Transportation,1.118033988749895,Mendoza,AR
rosario,Transportation,-1.118033988749895,Rosario,AR
san_miguel_de_tucuman,Transportation,0.0,San Miguel De Tucuman,AR
buenos_aires,Wholesale,-0.6454972243679039,Buenos Aires,AR
cordoba,Wholesale,-0.6454972243679039,Cordoba,AR
la_plata,Wholesale,-0.6454972243679039,La Plata,AR
mendoza,Wholesale,1.2909944487358045,Mendoza,AR
rosario,Wholesale,1.2909944487358045,Rosario,AR
san_miguel_de_tucuman,Wholesale,-0.6454972243679039,San Miguel De Tucuman,AR
