city,naics,mean_eci_zscore,clean_city_name,country
toluca,Construction,0.1067906024765717,Toluca,MX
mexico_city,Agriculture,0.1025119207473961,Mexico City,MX
mexico_city,Manufacturing,0.0797797335514046,Mexico City,MX
toluca,Art/Culture,0.0580064169866945,Toluca,MX
toluca,Real Estate,0.0483970997635392,Toluca,MX
tijuana,Information,0.0382728349387112,Tijuana,MX
tijuana,Education,0.037736040554898,Tijuana,MX
toluca,Retail,0.0201389274431507,Toluca,MX
tijuana,Hospitality,0.0181956744013991,Tijuana,MX
toluca,Corporate,0.0174713169868778,Toluca,MX
mexico_city,Retail,0.0141449571815659,Mexico City,MX
tijuana,Wholesale,0.0044181895231638,Tijuana,MX
guadalajara,Transportation,0.0017686895015669,Guadalajara,MX
puebla,Transportation,-0.0132199815209653,Puebla,MX
toluca,Manufacturing,-0.0190882034038242,Toluca,MX
tijuana,Public Administration,-0.0209353134299632,Tijuana,MX
guadalajara,Education,-0.0222254175536404,Guadalajara,MX
tijuana,Manufacturing,-0.0305300192970875,Tijuana,MX
monterrey,Manufacturing,-0.0556480473708104,Monterrey,MX
guadalajara,Public Administration,-0.0569590313257799,Guadalajara,MX
tijuana,Transportation,-0.0574910377499208,Tijuana,MX
guadalajara,Manufacturing,-0.0666848100262718,Guadalajara,MX
guadalajara,Retail,-0.0827479118265774,Guadalajara,MX
guadalajara,Agriculture,-0.100492519871663,Guadalajara,MX
puebla,Manufacturing,-0.1018812695660544,Puebla,MX
tijuana,Retail,-0.114020322921891,Tijuana,MX
toluca,Energy,-0.1403107693813176,Toluca,MX
tijuana,Agriculture,-0.1506541423423586,Tijuana,MX
puebla,Agriculture,-0.3122359038205515,Puebla,MX
tijuana,Energy,-0.4709239338055678,Tijuana,MX
sao_paulo,Financial,1.2717014784234315,Sao Paulo,BR
belo_horizonte,Health,1.1352599930660396,Belo Horizonte,BR
sao_paulo,Professional Service,1.1218937038615784,Sao Paulo,BR
rio_de_janeiro,Art/Culture,1.1137756823985312,Rio De Janeiro,BR
rio_de_janeiro,Financial,1.112918299532702,Rio De Janeiro,BR
brasilia,Public Administration,1.1066150361408251,Brasilia,BR
rio_de_janeiro,Hospitality,1.0840256337419876,Rio De Janeiro,BR
salvador,Health,1.055803603031744,Salvador,BR
sao_paulo,Real Estate,1.0424317070218625,Sao Paulo,BR
belo_horizonte,Real Estate,1.0404689711989972,Belo Horizonte,BR
belo_horizonte,Financial,1.0343424871513018,Belo Horizonte,BR
sao_paulo,Public Administration,1.0288270126883776,Sao Paulo,BR
belo_horizonte,Professional Service,1.0262924132250846,Belo Horizonte,BR
sao_paulo,Information,1.02443630740347,Sao Paulo,BR
sao_paulo,Health,1.0145238269252117,Sao Paulo,BR
rio_de_janeiro,Professional Service,0.9942629869023848,Rio De Janeiro,BR
rio_de_janeiro,Health,0.9742444726404402,Rio De Janeiro,BR
rio_de_janeiro,Real Estate,0.964463583333208,Rio De Janeiro,BR
sao_paulo,Art/Culture,0.9477115905734438,Sao Paulo,BR
belo_horizonte,Information,0.9434072158026242,Belo Horizonte,BR
rio_de_janeiro,Information,0.926595316074006,Rio De Janeiro,BR
rio_de_janeiro,Education,0.9203583641137516,Rio De Janeiro,BR
brasilia,Art/Culture,0.8810347537883197,Brasilia,BR
belo_horizonte,Education,0.8781734188574697,Belo Horizonte,BR
salvador,Art/Culture,0.8749726782492694,Salvador,BR
sao_paulo,Hospitality,0.8691251925857647,Sao Paulo,BR
salvador,Education,0.8612169751151101,Salvador,BR
sao_paulo,Education,0.8376960298037273,Sao Paulo,BR
sao_paulo,Business Support,0.8156988425986919,Sao Paulo,BR
rio_de_janeiro,Public Administration,0.8028180342151298,Rio De Janeiro,BR
belo_horizonte,Art/Culture,0.7958271153000138,Belo Horizonte,BR
brasilia,Financial,0.7903958139954753,Brasilia,BR
rio_de_janeiro,Agriculture,0.7629396341489888,Rio De Janeiro,BR
brasilia,Professional Service,0.7303736676994158,Brasilia,BR
rio_de_janeiro,Construction,0.7168888311948569,Rio De Janeiro,BR
fortaleza,Education,0.7146284126468323,Fortaleza,BR
belo_horizonte,Business Support,0.7015741849573482,Belo Horizonte,BR
belo_horizonte,Construction,0.7013017190109991,Belo Horizonte,BR
brasilia,Agriculture,0.6965146232160001,Brasilia,BR
salvador,Corporate,0.6955888350587148,Salvador,BR
brasilia,Business Support,0.6891757338546517,Brasilia,BR
brasilia,Health,0.6826605105220971,Brasilia,BR
salvador,Retail,0.6751388037024618,Salvador,BR
sao_paulo,Wholesale,0.6687514525944457,Sao Paulo,BR
brasilia,Real Estate,0.6656904487141767,Brasilia,BR
sao_paulo,Corporate,0.6636183426057071,Sao Paulo,BR
salvador,Real Estate,0.6622561418895123,Salvador,BR
rio_de_janeiro,Wholesale,0.6520147785991228,Rio De Janeiro,BR
sao_paulo,Construction,0.6340723025023198,Sao Paulo,BR
salvador,Wholesale,0.6219622890917069,Salvador,BR
rio_de_janeiro,Retail,0.6212269061849898,Rio De Janeiro,BR
salvador,Business Support,0.6206189304721195,Salvador,BR
rio_de_janeiro,Business Support,0.6202067305247768,Rio De Janeiro,BR
belo_horizonte,Wholesale,0.6201982633820586,Belo Horizonte,BR
brasilia,Information,0.6157887328957196,Brasilia,BR
salvador,Professional Service,0.6139366779191304,Salvador,BR
salvador,Information,0.5936013293267881,Salvador,BR
brasilia,Wholesale,0.5729707640582238,Brasilia,BR
salvador,Financial,0.572515276423023,Salvador,BR
